station.number,block.number,latitude,longitude
2,1,47.1,-64.71861111
3,1,47.1,-64.67138889
4,1,47.1,-64.62388889
5,1,47.1,-64.57611111
19,1,47.06666667,-64.71861111
20,1,47.06666667,-64.67138889
21,1,47.06666667,-64.62388889
22,1,47.06666667,-64.57611111
23,1,47.06666667,-64.52861111
24,1,47.06666667,-64.48111111
35,1,47.03333333,-64.76694444
36,1,47.03333333,-64.71861111
37,1,47.03333333,-64.67138889
38,1,47.03333333,-64.62388889
39,1,47.03333333,-64.57611111
51,1,47,-64.76694444
52,1,47,-64.71861111
53,1,47,-64.67138889
54,1,47,-64.62388889
55,1,47,-64.57611111
66,1,46.96666667,-64.76694444
67,1,46.96666667,-64.71861111
68,1,46.96666667,-64.67138889
69,1,46.96666667,-64.62388889
70,1,46.96666667,-64.57611111
79,1,46.93333333,-64.81444444
80,1,46.93333333,-64.76694444
81,1,46.93333333,-64.71861111
82,1,46.93333333,-64.67138889
83,1,46.93333333,-64.62388889
84,1,46.93333333,-64.57611111
92,1,46.9,-64.81444444
93,1,46.9,-64.76694444
94,1,46.9,-64.71861111
95,1,46.9,-64.67138889
96,1,46.9,-64.62388889
97,1,46.9,-64.57611111
105,1,46.86666667,-64.86194444
106,1,46.86666667,-64.81444444
107,1,46.86666667,-64.76694444
108,1,46.86666667,-64.71861111
109,1,46.86666667,-64.67138889
110,1,46.86666667,-64.62388889
111,1,46.86666667,-64.57611111
118,1,46.83333333,-64.81444444
119,1,46.83333333,-64.76694444
120,1,46.83333333,-64.71861111
121,1,46.83333333,-64.67138889
122,1,46.83333333,-64.62388889
123,1,46.83333333,-64.57611111
130,1,46.8,-64.81444444
131,1,46.8,-64.76694444
132,1,46.8,-64.71861111
133,1,46.8,-64.67138889
134,1,46.8,-64.62388889
135,1,46.8,-64.57611111
141,1,46.76666667,-64.76694444
142,1,46.76666667,-64.71861111
143,1,46.76666667,-64.67138889
144,1,46.76666667,-64.62388889
145,1,46.76666667,-64.57611111
150,1,46.73333333,-64.71861111
151,1,46.73333333,-64.67138889
152,1,46.73333333,-64.62388889
153,1,46.73333333,-64.57611111
158,1,46.7,-64.67138889
159,1,46.7,-64.62388889
160,1,46.7,-64.57611111
164,1,46.66666667,-64.62388889
165,1,46.66666667,-64.57611111
169,1,46.63333333,-64.67138889
170,1,46.63333333,-64.62388889
171,1,46.63333333,-64.57611111
172,1,46.63333333,-64.52861111
175,1,46.9,-64.86194444
176,1,46.6,-64.67138889
177,1,46.6,-64.62388889
178,1,46.6,-64.57611111
179,1,46.6,-64.52861111
188,1,46.56666667,-64.62388889
189,1,46.56666667,-64.57611111
190,1,46.56666667,-64.52861111
199,1,46.56666667,-64.67138889
