"x","y","pos","pid"
NA,NA,NA,NA
-70,42,1,1
-69.9726,42,2,1
-70,42.0416,3,1
-70,43.7165,4,1
-69.9506,43.862,5,1
-70,43.7301,6,1
-69.8889,43.8986,7,1
-69.8564,43.7046,8,1
-69.7803,43.7426,9,1
-69.8312,43.9806,10,1
-69.9133,43.9213,11,1
-69.7902,44.0899,12,1
-69.8046,43.9118,13,1
-69.6764,43.9733,14,1
-69.7106,43.8542,15,1
-69.6615,43.9748,16,1
-69.6045,43.8133,17,1
-69.5437,44.025,18,1
-69.5133,43.8334,19,1
-69.3872,44.0774,20,1
-69.3078,43.9552,21,1
-69.1656,44.0707,22,1
-69.2776,43.9523,23,1
-69.2109,43.9326,24,1
-69.0436,44.0853,25,1
-69.1037,44.1099,26,1
-68.946,44.3447,27,1
-69.0043,44.4314,28,1
-68.8083,44.4677,29,1
-68.8257,44.6664,30,1
-68.7415,44.5615,31,1
-68.8249,44.31,32,1
-68.7505,44.3492,33,1
-68.522,44.2284,34,1
-68.5818,44.4105,35,1
-68.4909,44.4483,36,1
-68.457,44.3849,37,1
-68.4991,44.4941,38,1
-68.4207,44.4965,39,1
-68.4283,44.3958,40,1
-68.3549,44.4941,41,1
-68.2677,44.4567,42,1
-68.3179,44.5366,43,1
-68.2226,44.464,44,1
-68.2444,44.5864,45,1
-68.0589,44.3316,46,1
-67.9596,44.4,47,1
-68.0249,44.4881,48,1
-67.9374,44.4116,49,1
-67.9088,44.4933,50,1
-67.9,44.3957,51,1
-67.8914,44.5522,52,1
-67.7898,44.6074,53,1
-67.7422,44.4972,54,1
-67.6594,44.5711,55,1
-67.5665,44.5332,56,1
-67.5659,44.6631,57,1
-67.4048,44.5959,58,1
-67.3823,44.7202,59,1
-67.2582,44.6277,60,1
-66.9488,44.8166,61,1
-67.1021,44.8967,62,1
-67.16,44.8144,63,1
-67.1635,44.9487,64,1
-66.9821,44.9117,65,1
-67.1872,45.2265,66,1
-67.0797,45.0749,67,1
-66.9692,45.1829,68,1
-66.8571,45.1217,69,1
-66.8884,45.0412,70,1
-66.4633,45.1696,71,1
-66.4583,45.0587,72,1
-66.0667,45.2712,73,1
-65.9067,45.1954,74,1
-64.8656,45.6334,75,1
-64.7791,45.5949,76,1
-64.5693,45.8306,77,1
-64.6784,45.9759,78,1
-64.4924,45.8106,79,1
-64.5519,45.7251,80,1
-64.338,45.8807,81,1
-64.2595,45.7567,82,1
-64.3332,45.7539,83,1
-64.3095,45.8214,84,1
-64.3826,45.7975,85,1
-64.574,45.5991,86,1
-64.9134,45.4334,87,1
-64.9437,45.3302,88,1
-64.8344,45.3549,89,1
-64.774,45.2925,90,1
-64.5724,45.4084,91,1
-63.3772,45.3609,92,1
-64.1727,45.1899,93,1
-64.1034,45.0025,94,1
-64.2866,45.1409,95,1
-64.3599,45.0999,96,1
-64.3284,45.2979,97,1
-64.4956,45.3367,98,1
-64.399,45.2974,99,1
-64.461,45.2451,100,1
-64.9501,45.1067,101,1
-65.7421,44.7131,102,1
-65.7271,44.6682,103,1
-65.5152,44.7522,104,1
-65.6845,44.6198,105,1
-65.7662,44.6023,106,1
-65.7869,44.6931,107,1
-66.1117,44.4987,108,1
-66.2033,44.3762,109,1
-65.9802,44.558,110,1
-65.847,44.5715,111,1
-66.1271,44.3316,112,1
-66.2154,44.0966,113,1
-66.1705,43.8002,114,1
-66.1189,43.8468,115,1
-66.1249,43.7411,116,1
-66.0897,43.779,117,1
-66.0138,43.681,118,1
-65.935,43.8637,119,1
-65.8026,43.5921,120,1
-65.7755,43.7008,121,1
-65.7292,43.4929,122,1
-65.5751,43.5671,123,1
-65.4693,43.4504,124,1
-65.4642,43.6013,125,1
-65.3388,43.5375,126,1
-65.38,43.7437,127,1
-65.255,43.6587,128,1
-65.2375,43.7971,129,1
-65.1292,43.6537,130,1
-65.0925,43.7488,131,1
-65.0292,43.6954,132,1
-65.0426,43.8246,133,1
-64.9809,43.7441,134,1
-64.9732,43.8709,135,1
-64.9119,43.7892,136,1
-64.918,43.8781,137,1
-64.8348,43.8144,138,1
-64.8447,43.933,139,1
-64.6636,43.9877,140,1
-64.7099,44.0514,141,1
-64.5515,44.0707,142,1
-64.616,44.1556,143,1
-64.522,44.1174,144,1
-64.3692,44.2609,145,1
-64.4382,44.3454,146,1
-64.2454,44.2591,147,1
-64.3433,44.3656,148,1
-64.2132,44.3806,149,1
-64.3734,44.4488,150,1
-64.3057,44.5662,151,1
-64.2183,44.5323,152,1
-64.1734,44.5867,153,1
-64.0796,44.4701,154,1
-64.0072,44.5067,155,1
-64.0651,44.6347,156,1
-63.8883,44.6904,157,1
-63.9388,44.505,158,1
-63.7901,44.5354,159,1
-63.8167,44.4787,160,1
-63.7675,44.5246,161,1
-63.6484,44.4312,162,1
-63.5204,44.5041,163,1
-63.6625,44.7263,164,1
-63.4493,44.5871,165,1
-63.4517,44.6804,166,1
-63.2825,44.6254,167,1
-63.2509,44.7362,168,1
-63.2233,44.6671,169,1
-63.1576,44.7329,170,1
-63.1405,44.6874,171,1
-63.1276,44.7896,172,1
-63.0492,44.6713,173,1
-63.0684,44.7745,174,1
-63,44.6954,175,1
-62.8034,44.7096,176,1
-62.8792,44.8137,177,1
-62.6592,44.7712,178,1
-62.6192,44.8446,179,1
-62.5459,44.7862,180,1
-62.545,44.9229,181,1
-62.4575,44.8204,182,1
-62.2567,44.9721,183,1
