stratum,major,minor,longitude,latitude,station
401,1,1,-63.91666667,47.13333333,1
401,1,2,-63.93333333,47.1,2
401,1,3,-63.9,47.1,3
401,1,4,-63.9,47.06666667,4
401,1,5,-63.86666667,47.03333333,5
401,1,6,-63.9,47.03333333,6
401,1,7,-63.9,47.01666667,7
401,1,8,-63.86666667,47,8
401,1,9,-63.9,46.96666667,9
401,1,10,-63.86666667,46.96666667,10
401,2,1,-63.91666667,46.93333333,11
401,2,2,-63.88333333,46.93333333,12
401,2,3,-63.85,46.91666667,13
401,2,4,-63.9,46.9,14
401,2,5,-63.88333333,46.88333333,15
401,2,6,-63.85,46.88333333,16
401,2,7,-63.86666667,46.85,17
401,2,8,-63.9,46.86666667,18
401,2,9,-63.91666667,46.83333333,19
401,2,10,-63.88333333,46.83333333,20
401,3,1,-63.86666667,46.81666667,21
401,3,2,-63.83333333,46.81666667,22
401,3,3,-63.93333333,46.81666667,23
401,3,4,-63.88333333,46.8,24
401,3,5,-63.85,46.78333333,25
401,3,6,-63.93333333,46.8,26
401,3,7,-63.93333333,46.76666667,27
401,3,8,-63.88333333,46.76666667,28
401,3,9,-63.81666667,46.78333333,29
401,4,1,-63.9,46.75,30
401,4,2,-63.86666667,46.75,31
401,4,3,-63.83333333,46.75,32
401,4,4,-63.8,46.75,33
401,4,5,-63.83333333,46.71666667,34
401,4,6,-63.78333333,46.71666667,35
401,4,7,-63.76666667,46.7,36
401,4,8,-63.73333333,46.7,37
401,4,9,-63.7,46.7,38
401,4,10,-63.8,46.68333333,39
401,5,1,-63.76666667,46.66666667,40
401,5,2,-63.73333333,46.66666667,41
401,5,3,-63.7,46.66666667,42
401,5,4,-63.68333333,46.66666667,43
401,5,5,-63.65,46.66666667,44
401,5,6,-63.7,46.63333333,45
401,5,7,-63.66666667,46.63333333,46
401,5,8,-63.63333333,46.63333333,47
401,5,9,-63.61666667,46.66666667,48
401,5,10,-63.6,46.66666667,49
401,6,1,-63.6,46.63333333,50
401,6,2,-63.6,46.6,51
401,6,3,-63.56666667,46.63333333,52
401,6,4,-63.56666667,46.6,53
401,6,5,-63.53333333,46.63333333,54
401,6,6,-63.53333333,46.6,55
401,6,7,-63.5,46.6,56
401,6,8,-63.46666667,46.6,57
401,6,9,-63.45,46.6,58
401,6,10,-63.53333333,46.56666667,59
401,7,1,-63.48333333,46.56666667,60
401,7,2,-63.45,46.56666667,61
401,7,3,-63.4,46.58333333,62
401,7,4,-63.4,46.55,63
401,7,5,-63.35,46.58333333,64
401,7,6,-63.35,46.56666667,65
401,7,7,-63.36666667,46.53333333,66
401,7,8,-63.31666667,46.56666667,67
401,7,9,-63.33333333,46.53333333,68
401,7,10,-63.3,46.53333333,69
401,8,1,-63.28333333,46.56666667,70
401,8,2,-63.26666667,46.53333333,71
401,8,3,-63.23333333,46.53333333,72
401,8,4,-63.21666667,46.53333333,73
401,8,5,-63.26666667,46.5,74
401,8,6,-63.23333333,46.5,75
401,9,1,-63.16666667,46.51666667,76
401,9,2,-63.23333333,46.48333333,77
401,9,3,-63.16666667,46.5,78
401,9,4,-63.16666667,46.48333333,79
401,9,5,-63.13333333,46.5,80
401,9,6,-63.11666667,46.46666667,81
401,9,7,-63.1,46.5,82
401,9,8,-63.06666667,46.5,83
401,9,9,-63.06666667,46.46666667,84
401,9,10,-63.03333333,46.5,85
401,10,1,-63.03333333,46.46666667,86
401,10,2,-62.98333333,46.5,87
401,10,3,-62.98333333,46.46666667,88
401,10,4,-62.95,46.5,89
401,10,5,-62.96666667,46.46666667,90
401,10,6,-62.93333333,46.46666667,91
401,10,7,-62.9,46.48333333,92
401,10,8,-62.86666667,46.48333333,93
401,10,9,-62.83333333,46.5,94
401,10,10,-62.83333333,46.46666667,95
401,11,1,-62.78333333,46.5,96
401,11,2,-62.76666667,46.48333333,97
401,11,3,-62.76666667,46.5,98
401,11,4,-62.73333333,46.51666667,99
401,11,5,-62.73333333,46.48333333,100
401,11,6,-62.7,46.51666667,101
401,11,7,-62.66666667,46.48333333,102
401,11,8,-62.66666667,46.51666667,103
401,11,9,-62.46666667,46.51666667,104
401,11,10,-62.63333333,46.48333333,105
401,12,1,-62.6,46.51666667,106
