longitude,latitude
-63.6988,49.0283
-63.7041,49.0336
-63.7094,49.0398
-63.7139,49.0443
-63.7165,49.0469
-63.721,49.0496
-63.7263,49.0522
-63.7307,49.0531
-63.7334,49.054
-63.7369,49.0549
-63.7387,49.0549
-63.7413,49.0557
-63.7431,49.0566
-63.7493,49.0575
-63.7582,49.0575
-63.7732,49.0584
-63.7812,49.0584
-63.7892,49.0602
-63.8042,49.0628
-63.814,49.0655
-63.8326,49.0681
-63.8583,49.0743
-63.8884,49.0999
-63.9026,49.1106
-63.9061,49.1141
-63.9123,49.1185
-63.9398,49.1424
-63.9859,49.1751
-64.0435,49.1769
-64.2641,49.0593
-64.2703,49.0549
-64.2801,49.0521
-64.2878,49.0483
-64.3012,49.0426
-64.3139,49.0336
-64.3121,49.0215
-64.3086,49.0191
-64.3035,49.0158
-64.298,49.0131
-64.2925,49.0084
-64.2879,49.0061
-64.2811,49.0018
-64.2744,48.9999
-64.2705,48.997
-64.262,48.9942
-64.2587,48.9914
-64.2558,48.9887
-64.2498,48.983
-64.2501,48.9829
-64.2407,48.9768
-64.2313,48.9699
-64.2261,48.9672
-64.2178,48.9624
-64.2084,48.9583
-64.1938,48.9549
-64.1781,48.9508
-64.1614,48.9392
-64.1551,48.9316
-64.1426,48.92
-64.1373,48.9152
-64.1248,48.9043
-64.1196,48.9016
-64.1154,48.8988
-64.0977,48.892
-64.0903,48.8838
-64.0799,48.8708
-64.0694,48.8633
-64.0569,48.8544
-64.0516,48.8483
-64.0412,48.8421
-64.0214,48.8373
-64.0088,48.8339
-64.0014,48.8299
-64.0103,48.8005
-64.0076,48.791
-64.0076,48.7857
-64.0093,48.7715
-64.0129,48.7627
-64.0155,48.7548
-64.0218,48.7468
-64.0404,48.7371
-64.0678,48.7309
-64.0979,48.7203
-64.1156,48.7181
-64.1328,48.7194
-64.1734,48.7256
-64.187,48.7219
-64.1954,48.7141
-64.1956,48.707
-64.1201,48.6771
-64.0873,48.6575
-64.0776,48.6531
-64.0687,48.654
-64.0669,48.6602
-64.0687,48.6708
-64.0714,48.6778
-64.0758,48.684
-64.0785,48.6902
-64.0767,48.6973
-64.0705,48.6991
-64.0563,48.7008
-64.0386,48.7008
-64.0182,48.6982
-63.9952,48.6867
-63.9772,48.6707
-63.9744,48.6679
-63.9698,48.6633
-63.968,48.6606
-63.9636,48.6523
-63.9605,48.6482
-63.9531,48.6386
-63.9447,48.6318
-63.9352,48.627
-63.9185,48.6215
-63.9122,48.6229
-63.9038,48.6229
-63.9017,48.6168
-63.8954,48.6072
-63.8964,48.5976
-63.8995,48.5921
-63.8977,48.5718
-63.8983,48.5716
-63.8878,48.5627
-63.8762,48.5538
-63.8657,48.5484
-63.8552,48.5436
-63.8447,48.5388
-63.8374,48.5347
-63.829,48.5272
-63.8237,48.5217
-63.8226,48.5135
-63.8309,48.5046
-63.8393,48.5032
-63.8435,48.5046
-63.855,48.5087
-63.8686,48.5115
-63.877,48.5135
-63.8875,48.5156
-63.8979,48.5162
-63.9074,48.5197
-63.9252,48.5244
-63.9451,48.5347
-63.964,48.5402
-63.9724,48.5463
-63.9965,48.5552
