point.number lat.d lat.m lat.s lon.d lon.m lon.s
1 51 25 00 57 06 45
2 49 25 00 60 00 00
3 47 50 00 60 00 00
4 46 00 00 57 50 00
5 44 56 00 59 42 00
6 45 47 00 60 11 00
7 45 57 25 60 47 32
8 45 57 32 60 48 32
9 45 38 30 61 24 15
10 45 38 10 61 25 45
11 46 58 42 60 40 00
12 47 02 18 60 45 00
13 46 27 52 61 51 06
14 46 26 55 61 58 25
15 45 51 45 63 42 42
16 46 10 35 63 28 03
17 46 12 58 63 29 26
18 47 03 27.7 63 59 48.8
19 47 08 25 64 02 10
20 47 00 48 64 49 40
21 48 05 57 66 20 48
22 48 05 04 66 21 30
23 48 04 15 66 22 08
24 48 03 16 66 19 21
25 48 01 30 65 50 00
26 47 51 42 65 29 10
27 48 02 00 65 29 10
28 47 57 45 65 03 30
29 48 12 15 64 30 00
30 48 12 15 64 02 10
31 48 30 00 63 00 00
32 48 43 00 64 13 30
33 48 44 55 64 09 51
34 46 56 06 70 44 11
35 47 02 57 70 48 40
36 48 08 06 69 42 03
37 48 02 30 69 35 30
38 48 27 00 69 00 00
39 49 09 45 67 11 00
40 49 51 30 65 00 00
41 50 06 30 64 20 30
42 49 50 30 61 16 00
43 50 10 25 61 16 00
44 50 16 55 59 54 40
45 49 51 00 59 23 30
46 45 41 30 61 29 20
47 45 43 42 61 30 42
48 45 50 00 61 40 00
49 46 09 00 61 57 00
50 46 37 30 61 30 15
51 48 19 36 64 41 36
52 47 18 25 64 02 10
53 47 07 58 63 47 30
54 48 56 34 67 40 09
55 49 14 00 68 07 40
56 49 24 05 66 22 00
57 49 50 00 67 02 10
58 49 34 04 65 52 39
59 50 06 30 66 42 00
60 49 46 05 65 16 33
61 50 17 00 65 30 10
62 49 59 54 64 38 00
63 50 16 30 64 38 00
64 50 03 25 63 40 00
65 50 15 00 63 40 00
66 49 59 38 62 54 00
67 50 17 00 62 54 00
68 49 52 54 61 32 42
69 50 08 30 61 31 42
70 48 01 47 65 54 10
71 48 12 36 65 54 10
72 49 48 42 64 22 00
73 49 36 30 64 37 30
74 49 01 30 63 46 00
75 49 21 00 63 24 00
76 49 12 00 64 55 00
77 49 40 30 64 44 00
78 49 13 30 64 05 00
79 49 00 32 64 24 00
80 51 50 00 57 10 00
81 50 49 00 60 20 00
82 51 50 00 58 00 00
83 50 11 30 61 16 00
84 49 38 00 63 30 00
85 49 00 00 69 20 00
86 50 05 00 67 04 00
87 50 30 00 66 15 00
88 50 33 00 66 03 30
89 50 30 00 64 00 00
90 50 30 00 63 15 00
91 50 26 00 62 08 00
92 50 15 00 61 24 00
93 47 45 00 70 45 00
94 48 45 00 66 15 00
95 47 58 00 69 00 00
96 46 55 00 70 18 00
97 49 00 00 64 44 00
98 48 52 00 64 21 00
99 48 15 00 66 15 00
100 47 00 00 65 39 00
101 48 00 00 66 45 00
102 48 12 00 66 27 00
103 46 20 00 62 57 00
104 46 25 00 63 47 00
105 46 27 00 63 54 00
106 46 40 00 64 02 00
107 46 47 00 64 11 00
108 45 48 00 63 53 00
109 46 32 00 65 28 00
110 45 27 00 62 04 00
111 45 40 00 63 38 00
112 46 35 00 60 43 00
113 45 56 00 61 15 00
114 46 06 00 60 20 00
115 46 15 00 60 52 00
