point.number lat.d lat.m lat.s lon.d lon.m lon.s
1 52 15 00 55 40 00
2 52 15 00 55 26 00
3 51 38 00 55 26 00
4 50 21 36 57 31 42
5 50 33 45 58 18 30
6 51 04 49 58 46 27
7 49 52 00 59 30 00
8 49 52 00 60 03 45
9 50 12 30 60 20 30
10 49 52 00 61 30 30
11 49 52 00 61 50 30
12 50 11 30 61 50 30
13 49 05 00 61 12 00
14 49 05 00 61 42 00
15 49 51 50 64 31 26
16 49 19 00 65 41 30
17 49 19 00 67 22 52
18 49 28 48 62 19 48
19 49 25 00 60 00 00
20 49 05 00 60 00 00
21 00 00 00 00 00 00
22 48 30 00 60 00 00
23 49 00 00 63 00 00
24 49 40 20 64 54 50
25 47 44 30 60 25 15
26 47 21 30 60 16 00
27 47 18 30 60 18 00
28 47 32 12 60 42 15
29 47 30 00 60 43 20
30 47 26 45 61 00 00
31 47 50 00 61 08 27
32 47 58 30 61 07 30
33 48 02 30 61 07 00
34 48 31 00 63 08 30
35 49 00 00 63 08 30
36 49 13 15 65 53 30
37 49 21 25 65 35 30
38 49 17 00 64 44 00
39 48 53 30 63 48 54
40 48 45 18 64 09 54
41 47 03 30 64 00 00
42 47 15 00 64 00 00
43 46 37 30 61 30 15
44 47 25 00 63 16 00
45 47 19 30 63 16 00
46 47 19 30 63 23 36
47 47 25 00 63 23 36
48 46 45 00 62 00 00
49 46 27 00 61 58 00
50 46 18 01 62 20 00
51 46 09 00 61 57 00
52 45 59 00 61 36 00
53 45 58 00 61 32 00
54 46 25 40 61 07 00
55 47 02 15 60 24 55
56 47 16 25 60 17 40
57 46 21 40 61 11 09
58 46 33 15 61 34 12
59 46 56 06 70 44 11
60 47 02 57 70 48 40
61 49 13 00 65 53 30
62 48 52 00 64 21 00
63 52 22 00 57 20 00
64 51 35 00 55 26 25
65 51 34 05 55 29 00
66 51 27 00 55 36 30
67 51 24 00 56 12 00
68 50 20 00 57 19 00
69 51 52 00 58 54 00
70 49 41 00 68 08 00
71 49 00 00 66 00 00
72 47 40 00 69 20 00
73 46 52 00 70 41 00
74 48 25 00 70 00 00
75 49 30 00 69 30 00
76 49 24 00 62 27 00
77 49 52 00 64 13 00
78 50 30 00 67 30 00
79 50 25 00 61 50 00
80 46 20 00 62 57 00
81 46 25 00 63 47 00
82 46 27 00 63 54 00
83 46 40 00 64 02 00
84 46 47 00 64 11 00
85 50 25 00 61 35 00
86 51 12 00 59 00 00
87 51 37 00 58 50 00
88 51 14 00 59 06 00
89 46 20 00 61 08 00
90 46 09 30 61 21 00
91 45 38 58 61 24 44
92 45 38 08 61 26 00
93 45 24 00 62 24 00
94 46 05 00 64 31 00
95 48 09 00 67 24 00
96 48 59 00 64 29 00
97 48 49 00 64 14 30
