LFA type point.number longitude latitude
23A land 1 -65.30346 47.74266
23A land 2 -65.65450 47.55038
23A land 3 -66.37428 47.95660
23A land 4 -66.40809 48.02701
23A land 5 -66.38555 48.05139
23A ocean 1 -66.36983333 48.06666667
23A ocean 2 -66.36983333 48.06863889
23A ocean 3 -66.36888889 48.07083333
23A ocean 4 -66.35833333 48.08444444
23A ocean 5 -66.3225 48.055
23A ocean 6 -65.85 48.025
23A ocean 7 -65.48611111 47.86166667
23A ocean 8 -65.35388889 47.89283333
23A ocean 9 -65.27416667 47.79916667
23A ocean 10 -65.27052778 47.77819444
23A ocean 11 -65.27175 47.77708333
23A ocean 12 -65.27175 47.77694444
23B ocean 13 -65.27416667 47.79888889
23B ocean 14 -65.27416667 47.79916667
23B ocean 15 -65.35391667 47.89283333
23B ocean 16 -65.05833333 47.9625
23B ocean 17 -64.736 48.102
23B ocean 18 -64.54722222 48.03888889
23B ocean 19 -64.54125 48.01719444
23B ocean 20 -64.54125 48.01694444
23B land 1 -64.51927 48.00535
23B land 2 -64.48545 47.94848
23B land 3 -64.50639 47.86723
23B land 4 -64.62876 47.77515
23B land 5 -64.67707 47.72099
23B land 6 -64.72216 47.71828
23B land 7 -64.77208 47.68849
23B land 8 -64.87513 47.71828
23B land 9 -65.20 47.74536
23C ocean 21 -64.53611111 48.02166667
23C ocean 22 -64.53611111 48.02177778
23C ocean 23 -64.54125 48.01719444
23C ocean 24 -64.54722222 48.03888889
23C ocean 25 -64.736 48.102
23C ocean 26 -64.5 48.20416667
23C ocean 27 -64.03611111 48.20416667
23C ocean 28 -64.03616667 47.56988889
23C ocean 29 -64.88091667 47.28855556
23C ocean 30 -64.98172222 47.28808333
23C ocean 31 -64.96766667 47.29175
23C ocean 32 -64.96777778 47.29175
23C land 1 -64.97819 47.29039
23C land 2 -65.03294 47.30935
23C land 3 -65.02650 47.49351
23C land 4 -64.87674 47.72099
23C land 5 -64.77369 47.69391
23C land 6 -64.72377 47.72099
23C land 7 -64.67868 47.72099
23C land 8 -64.65292 47.72370
23C land 9 -64.62876 47.77515
23C land 10 -64.50961 47.86452
23C land 11 -64.48384 47.95118
23C land 12 -64.51927 48.00806
23D ocean 33 -64.98194444 47.28808333
23D ocean 34 -64.98172222 47.28808333
23D ocean 35 -64.88091667 47.28855556
23D ocean 36 -64.03616667 47.56988889
23D ocean 37 -64.03613889 47.453
23D ocean 38 -64.03613889 47.24827778
23D ocean 39 -64.03611111 47.14027778
23D ocean 40 -64.81883333 47.03144444
23D ocean 41 -64.81916667 47.03144444
23D land 1 -64.85259 47.00874
23D land 2 -65.24066 46.94375
23D land 3 -65.36948 46.95729
23D land 4 -65.46771 47.06020
23D land 5 -65.40491 47.18478
23D land 6 -65.04421 47.32289
23D land 7 -64.97658 47.29852
