feature_name_en,part_index,latitude,longitude
LFA 25,0,47.01333,-64.82778
LFA 25,1,47.14028,-64.03611
LFA 25,2,47.05769,-63.99689
LFA 25,3,46.23278,-63.49056
LFA 25,4,46.17639,-63.4675
LFA 25,5,45.8625,-63.71167
