point.number lat.d lat.m lat.s lon.d lon.m lon.s
1 45 39 25 60 52 30
2 45 39 25 60 51 45
3 45 47 00 60 11 00
4 44 56 00 59 42 00
5 44 40 00 60 10 00
6 45 24 40 60 38 00
7 45 34 00 60 41 00
8 45 24 40 61 23 00
9 45 38 10 61 25 45
10 45 38 30 61 24 15
11 44 34 00 60 21 00
12 44 25 00 60 46 00
13 45 12 36 61 11 35
14 44 11 00 61 32 00
15 44 57 18 62 09 05
16 44 38 48 63 25 00
17 43 56 00 62 18 30
18 43 43 00 63 00 00
19 42 35 00 65 13 00
20 42 21 00 65 13 00
21 42 21 00 66 13 30
22 42 23 13 66 21 00
23 42 24 15 66 30 00
24 42 38 40 66 30 00
25 42 55 00 66 30 00
26 42 55 00 65 13 00
27 42 55 00 65 14 00
28 43 29 48 65 31 00
29 42 49 20 66 50 00
30 43 05 45 67 04 00
31 43 48 50 67 25 00
32 43 51 20 67 24 00
33 44 30 30 66 27 30
34 44 50 00 66 12 30
35 44 45 35.348 66 54 11.253
36 44 50 00 66 50 45
37 44 56 00 66 45 00
38 44 56 00 66 16 00
39 44 56 00 65 55 30
40 44 37 39 65 53 40
41 45 15 00 65 10 00
42 45 25 00 65 03 00
43 45 31 35 65 05 04
44 45 49 00 60 36 00
45 45 22 00 61 46 00
46 45 34 00 61 29 00
47 45 21 00 62 06 00
48 45 02 00 63 25 00
49 44 08 00 65 28 00
50 44 55 00 63 55 00
51 44 32 00 65 40 00
52 46 17 00 64 55 00
53 45 25 00 63 00 00
54 45 19 00 67 15 00
