point.number lat.d lat.m lat.s lon.d lon.m lon.s
1 NA NA NA NA NA NA
2 NA NA NA NA NA NA
3 NA NA NA NA NA NA
4 NA NA NA NA NA NA
5 NA NA NA NA NA NA
6 52 15 00 55 40 00
7 52 15 00 55 26 0
8 51 35 00 55 26 0
9 NA NA NA NA NA NA
10 NA NA NA NA NA NA
11 NA NA NA NA NA NA
12 NA NA NA NA NA NA
13 NA NA NA NA NA NA
14 NA NA NA NA NA NA
15 NA NA NA NA NA NA
16 NA NA NA NA NA NA
17 NA NA NA NA NA NA
18 NA NA NA NA NA NA
19 NA NA NA NA NA NA
20 NA NA NA NA NA NA
21 NA NA NA NA NA NA
22 NA NA NA NA NA NA
23 NA NA NA NA NA NA
24 NA NA NA NA NA NA
25 46 56 58 55 59 0
26 44 25 00 55 59 0
27 NA NA NA NA NA NA
28 44 52 00 56 36 0
29 44 52 00 62 25 53
30 NA NA NA NA NA NA
31 NA NA NA NA NA NA
32 45 38 10 61 25 45
33 45 38 30 61 24 15
34 45 43 00 60 15 00
35 45 40 00 60 00 00
36 45 40 00 57 25 00
37 46 17 00 58 09 00
38 47 40 47 58 09 00
39 47 37 00 59 19 00
40 47 30 00 59 35 00
41 46 50 00 58 50 00
42 46 20 00 60 18 00
43 47 02 15 60 24 55
44 47 50 00 60 00 00
45 49 25 00 64 40 00
46 49 25 00 67 18 12
47 49 25 00 60 00 00
48 49 25 00 58 13 14
49 51 25 00 57 06 45
50 48 37 30 64 10 00
51 48 42 00 62 32 00
52 47 03 00 60 36 00
53 46 26 00 63 15 00
54 46 50 00 62 32 00
55 47 37 00 63 45 00
56 47 26 00 64 53 12
57 46 40 00 64 43 00
58 46 12 58 63 29 26
59 46 10 35 63 28 03
60 45 51 45 63 42 42
61 45 57 00 62 44 40
62 45 54 30 62 13 30
63 46 11 00 61 25 00
64 48 09 00 57 48 00
65 48 00 00 54 25 00
66 47 29 00 54 49 00
67 47 02 00 55 34 00
68 48 04 00 58 00 00
69 48 56 00 57 07 00
70 48 08 00 58 15 00
71 47 47 00 59 00 00
72 51 28 00 55 36 00
73 51 25 00 56 10 00
74 50 23 00 56 39 00
75 49 17 00 57 45 00
76 52 09 00 56 40 00
77 50 53 00 68 30 00
78 52 20 00 56 55 00
79 49 41 00 68 08 00
80 49 00 00 66 00 00
81 47 40 00 69 20 00
82 46 52 00 70 41 00
83 48 25 00 70 00 00
84 49 30 00 69 30 00
85 46 56 06 70 44 11
86 47 02 57 70 48 40
87 47 26 00 67 40 00
88 48 19 00 67 16 00
89 48 39 00 64 37 00
90 46 48 00 65 36 00
91 47 22 00 65 39 00
92 46 58 00 60 29 00
93 45 55 00 64 12 00
94 46 31 00 65 12 00
95 45 36 00 63 25 00
96 45 33 00 61 34 00
97 45 56 00 61 17 00
98 46 14 00 62 43 00
99 46 21 19 62 56 26
100 46 20 00 63 28 00
101 46 17 00 60 24 06
102 46 18 00 60 27 00
103 46 10 40 60 36 31
104 46 14 00 60 45 00
105 46 57 00 60 33 00
106 46 00 00 60 16 00
107 46 10 00 60 20 20
108 46 15 17 60 15 30
109 45 20 00 62 25 00
110 45 36 00 61 30 00
111 45 41 00 61 14 00
112 45 39 18 60 52 10
113 45 38 00 60 47 00
114 45 48 00 60 23 00
