point.number lat.d lat.m lat.s lon.d lon.m lon.s
1 52 15 00 55 46 23
2 52 15 00 55 26 00
3 52 15 00 49 38 00
4 51 38 00 55 28 00
5 50 00 00 55 30 30
6 50 00 00 48 02 43
7 49 15 00 48 00 57
8 49 15 00 53 28 05
9 48 42 00 53 05 03
10 48 42 00 47 50 30.5
11 48 10 00 47 44 50
12 48 10 00 52 56 23
13 47 48 36 52 48 40
14 47 48 36 47 41 53
15 43 19 58 53 05 00
16 46 39 20 53 05 00
17 46 49 00 54 12 00
18 46 00 00 54 30 00
19 43 23 42 54 30 00
20 43 26 30.5 54 48 00
21 44 25 00 55 59 00
22 46 56 30 55 59 00
23 47 41 00 58 09 00
24 46 17 00 58 09 00
25 47 30 00 59 35 00
26 47 37 00 59 19 00
27 47 50 00 60 00 00
28 48 28 00 60 00 00
29 48 28 00 59 15 00
30 49 25 00 58 12 58
31 49 25 00 60 00 00
32 50 41 03 58 00 00
33 50 41 03 57 24 03
34 51 25 00 56 28 00
35 51 25 00 57 06 45
36 46 00 00 57 50 00
37 44 56 00 59 42 00
38 44 40 00 60 10 00
39 44 34 00 60 21 00
40 44 11 00 61 32 00
41 43 53 00 62 27 00
42 43 53 00 63 08 00
43 42 35 00 65 13 00
44 42 21 00 65 13 00
45 42 21 00 66 13 30
46 42 23 13 66 21 00
47 42 24 15 66 30 00
48 42 38 40 66 30 00
49 42 49 20 66 50 00
50 43 05 45 67 04 00
51 43 40 30 67 22 15
52 43 40 30 67 30 30
53 49 51 00 59 23 30
