point.number lat.d lat.m lat.s lon.d lon.m lon.s
1 50 17 30 64 31 06
2 49 22 03 64 31 06
3 49 20 00 67 23 00
4 50 10 24 61 11 06
5 48 24 30 61 40 06
6 47 50 00 60 00 00
7 49 25 00 60 00 00
8 51 25 00 57 06 27
9 45 51 45 63 42 42
10 46 10 35 63 28 03
11 46 26 54 61 58 24
12 47 56 00 60 17 00
13 47 02 09 60 24 33
14 47 03 15 64 00 00
15 48 36 45 62 16 00
16 49 24 00 65 10 00
17 49 13 36 65 08 00
18 49 25 00 64 40 00
19 47 33 00 63 26 42
20 47 33 00 64 54 00
21 49 08 48 61 40 06
22 49 52 00 64 31 06
23 52 15 00 55 41 00
24 52 15 00 55 25 00
25 51 35 00 55 26 00
26 50 42 00 57 25 00
27 50 43 00 58 09 00
28 49 57 00 59 15 00
29 49 24 00 58 14 00
30 48 28 00 59 16 00
31 48 28 00 60 00 00
32 47 30 00 59 35 00
33 47 37 00 59 19 00
34 47 35 00 57 38 00
35 46 50 00 58 50 00
36 46 30 00 58 26 00
37 45 40 00 57 27 00
38 45 40 00 60 00 00
39 45 42 00 60 15 00
40 46 30 00 60 26 00
41 47 00 48 64 49 40
42 46 11 00 61 25 30
43 47 49 00 65 11 00
44 48 01 00 65 14 40
45 46 46 36 60 53 30
46 47 00 00 61 21 24
47 47 30 00 63 30 00
48 46 50 00 61 32 00
49 47 09 00 61 10 00
50 47 19 00 60 16 00
51 46 12 53 63 29 26
52 48 01 00 64 31 00
53 47 43 00 64 40 00
54 47 36 46 61 23 19
55 47 23 27 61 46 25
56 47 16 40 61 43 10
57 47 15 56.7 61 47 01.2
58 47 13 43 62 01 09
59 47 31 46 61 42 50
60 46 14 00 61 09 00
61 46 47 00 60 44 00
62 46 20 00 62 57 00
63 46 25 00 63 47 00
64 46 27 00 63 54 00
65 46 40 00 64 02 00
66 46 47 00 64 11 00
67 47 13 45 61 49 13
68 47 13 15 61 50 43
69 47 14 22 61 52 54
70 47 17 00 61 55 55
71 47 21 00 61 56 35
72 47 23 39 61 52 48
73 47 24 08 61 50 24
74 47 24 02 61 49 24
75 47 24 08 61 47 16
76 47 24 50 61 53 17
77 47 28 07 61 47 14
78 47 31 41 61 42 13
79 47 36 43 61 33 50
80 47 37 40 61 31 28
81 47 37 13 61 29 56
82 47 36 58 61 26 35
83 47 29 53 61 44 49
84 47 26 42 61 49 15
85 47 22 57 61 55 47
86 47 15 06 61 59 19
87 47 41 14 64 45 57
88 47 40 08 65 13 00
89 48 00 00 68 21 00
90 46 49 00 70 43 00
91 46 56 06 70 44 11
92 47 02 57 70 48 40
93 47 54 00 70 51 00
94 49 49 00 68 23 00
95 46 54 00 65 34 00
96 47 23 00 65 30 00
97 47 18 00 65 46 00
98 47 57 00 67 15 00
99 48 27 00 65 28 00
100 46 49 00 64 10 00
101 46 40 30 64 04 00
102 46 27 00 63 55 00
103 46 19 00 63 30 00
104 45 49 00 64 00 00
105 46 23 00 65 00 00
106 46 59 00 65 00 00
107 46 20 00 63 00 00
108 46 26 00 62 07 00
109 46 03 00 61 16 00
110 45 38 55 61 24 44
111 45 38 19 61 25 47
112 45 26 00 62 34 00
113 45 47 00 63 47 00
114 46 51 00 60 40 00
